station_id,name,phase,Line,confidence,position_source,is_mature,boardings_all,alightings_all,throughput_all,boardings_weekday,alightings_weekday,throughput_weekday,boardings_weekend,alightings_weekend,throughput_weekend,catchment_area_km2,population,population_density,built_volume,built_volume_density,built_surface,built_surface_density,population_2030,population_core400,core_share,intersection_count,intersection_density,street_length_km,street_density,circuity,pnr,network_catchment_km2,poi_education,poi_healthcare,poi_retail,poi_office,poi_government,poi_transport,poi_leisure,poi_total,dist_cbd_km,dist_nearest_centre_km,bus_stops_500m,parking_area_m2,competing_rail_1km,metro_betweenness,metro_degree,metro_closeness,is_interchange,is_terminal,city,poi_total_pctl,poi_education_pctl,poi_healthcare_pctl,poi_retail_pctl,poi_office_pctl,poi_government_pctl,poi_transport_pctl,poi_leisure_pctl,bus_stops_500m_pctl,parking_area_m2_pctl
BLR000,Silk Institute,operational,Green Line,high,osm,True,7359.166666666667,6128.083333333333,13487.25,7547.882352941177,6278.705882352941,13826.588235294115,6900.857142857143,5762.285714285715,12663.142857142857,2.007391033949461,626.7085608213674,312.20053802290005,1743211.0,868396.3266341299,291152.0,145040.00220981866,642.6167966085486,150.8397104497999,0.24068557520916678,153,76.21833385345886,50.09682913657769,24.956188549878192,1.0038198806313323,0.289465966233445,0.5820058579092877,4,0.0,6.0,0.0,0.0,1.0,9.0,20.0,15.116051571494125,13.097509874182071,6,8081.596712584074,0,0.0,1,4.627318680119502e-05,0,1,bengaluru,0.12650602409638553,0.3192771084337349,0.024096385542168676,0.1144578313253012,0.0783132530120482,0.41566265060240964,0.29518072289156627,0.7108433734939759,0.5,0.7349397590361446
BLR001,Thalaghattapura,operational,Green Line,high,osm,True,2867.125,2800.9791666666665,5668.104166666667,3058.1176470588234,2999.9411764705883,6058.058823529412,2403.285714285714,2317.785714285714,4721.071428571428,2.007391033949461,2115.636729091406,1053.9235720949573,5687643.0,2833350.8040084206,589060.0,293445.56692626455,2160.687016323209,597.5728416442871,0.28245531637226035,492,245.0942500385736,116.73740094637743,58.15379214716392,1.0023386627472584,0.3463181174583598,0.6963138903118273,4,2.0,16.0,2.0,0.0,1.0,5.0,30.0,13.71771531298629,11.716687157900283,5,0.0,0,0.024390243902439025,2,4.9461184965589706e-05,0,0,bengaluru,0.24096385542168675,0.3192771084337349,0.18674698795180722,0.3795180722891566,0.2710843373493976,0.41566265060240964,0.29518072289156627,0.39156626506024095,0.3795180722891566,0.13253012048192772
BLR002,Vajarahalli,operational,Green Line,high,osm,True,5356.604166666667,5393.666666666667,10750.270833333334,5695.14705882353,5780.617647058823,11475.764705882351,4534.428571428572,4453.928571428572,8988.357142857143,2.007391033949461,2014.917474417016,1003.7493643940148,5539397.0,2759500.7182539115,536743.0,267383.3801797848,2060.069342869334,726.0042963027954,0.360314655821253,426,212.21575308217956,104.54210880840564,52.078597064729955,1.0023386171362385,0.41576461102276896,0.8359443504715193,5,4.0,25.0,1.0,0.0,1.0,12.0,48.0,12.785602141354431,10.765324313699681,5,15647.954116157123,0,0.04817825956037338,2,5.1830081631642225e-05,0,0,bengaluru,0.39759036144578314,0.42168674698795183,0.42771084337349397,0.5180722891566265,0.1927710843373494,0.41566265060240964,0.29518072289156627,0.8192771084337349,0.3795180722891566,0.9036144578313253
BLR003,Challaghatta,operational,Purple Line,high,osm,True,6492.291666666667,5476.729166666667,11969.020833333334,6503.941176470588,5573.970588235294,12077.911764705885,6464.0,5240.571428571428,11704.57142857143,2.007391033949461,623.9053899507271,310.80411309958794,2133765.0,1062954.3342145467,340389.0,169567.85909833337,641.9679466183297,124.88470882596448,0.2001661002412998,225,112.08578507861597,78.24288533676166,38.977401021275824,1.0023388172237222,0.11207713180075408,0.22534444409642496,5,3.0,6.0,0.0,0.0,1.0,0.0,15.0,18.016658535178816,14.825362641520275,2,1865.98735511739,0,0.0,1,4.037641322845712e-05,0,1,bengaluru,0.04819277108433735,0.42168674698795183,0.3313253012048193,0.1144578313253012,0.0783132530120482,0.41566265060240964,0.29518072289156627,0.030120481927710843,0.060240963855421686,0.4457831325301205
BLR004,Kengeri,operational,Purple Line,high,osm,True,5929.020833333333,3032.4375,8961.458333333334,6209.588235294118,3256.3823529411766,9465.970588235294,5247.642857142857,2488.5714285714284,7736.214285714285,2.007391033949461,1293.1253713998012,644.1820998152159,4077822.0,2031403.912359342,515846.0,256973.3506207277,1312.6625151569024,221.34676255006343,0.17117192767663103,311,154.92746293088697,75.97745081404027,37.84885432339393,1.0040284887746058,0.11744929554181752,0.23614582018782102,1,3.0,2.0,0.0,0.0,1.0,2.0,9.0,16.000654518306153,12.79567713845945,3,0.0,0,0.024390243902439025,2,4.393385629680169e-05,0,0,bengaluru,0.024096385542168676,0.06626506024096386,0.3313253012048193,0.04216867469879518,0.0783132530120482,0.41566265060240964,0.29518072289156627,0.15060240963855423,0.1566265060240964,0.13253012048192772
BLR005,Kengeri Bus Terminal,operational,Purple Line,high,osm,True,7253.5,7779.6875,15033.1875,7448.382352941177,8173.85294117647,15622.235294117649,6780.214285714285,6822.428571428572,13602.642857142857,2.007391033949461,1766.2222919078777,879.8596098304306,5013190.0,2497365.941770075,552944.0,275454.0548644899,1803.8321643080562,280.87770155409817,0.15902737885314164,328,163.3961666923824,85.72238295296773,42.70338040930291,1.0038578786592618,0.1842227976224102,0.3704019120859668,5,2.0,7.0,0.0,0.0,4.0,8.0,26.0,14.567660729050015,11.365865084404305,3,0.0,1,0.04817825956037338,2,4.6777087933462076e-05,0,0,bengaluru,0.21084337349397592,0.42168674698795183,0.18674698795180722,0.15060240963855423,0.0783132530120482,0.41566265060240964,0.9337349397590361,0.6445783132530121,0.1566265060240964,0.13253012048192772
BLR006,Pattanagere,operational,Purple Line,high,osm,True,6045.145833333333,5701.166666666667,11746.3125,7160.323529411765,6753.441176470588,13913.764705882351,3336.8571428571427,3145.6428571428573,6482.5,2.007391033949461,1699.0652166346554,846.4047053611737,6371933.0,3174236.056770403,597240.0,297520.50791267824,1697.3672095786314,435.2105909883976,0.2561470782448368,301,149.9458724829485,76.51554539311235,38.11691100491322,1.002659358091504,0.14202009157126338,0.2855483368591557,15,2.0,14.0,3.0,0.0,1.0,6.0,41.0,13.07407276826082,9.819684938913896,6,31411.98949660342,0,0.07136404697380307,2,5.0206720422839447e-05,0,0,bengaluru,0.3493975903614458,0.8072289156626506,0.18674698795180722,0.3132530120481928,0.3373493975903614,0.41566265060240964,0.29518072289156627,0.4759036144578313,0.5,0.9518072289156626
BLR007,Jnanabharathi,operational,Purple Line,high,osm,True,4291.395833333333,4237.041666666667,8528.4375,4770.205882352941,4759.85294117647,9530.058823529413,3128.5714285714284,2967.3571428571427,6095.928571428572,2.007391033949461,1532.175338886329,763.2670032763051,4576870.0,2280009.1873456226,443211.0,220789.5684021265,1548.721378673683,237.69152794207912,0.15513337273451136,223,111.08946698902827,64.22409958426351,31.99381610164173,1.0037254627953063,0.14822702284602066,0.2980281126633888,4,2.0,17.0,2.0,0.0,1.0,2.0,28.0,11.170604402397611,7.857555636585604,3,4148.665224426011,1,0.0939476061427281,2,5.518661089241851e-05,0,0,bengaluru,0.2289156626506024,0.3192771084337349,0.18674698795180722,0.41566265060240964,0.2710843373493976,0.41566265060240964,0.29518072289156627,0.15060240963855423,0.1566265060240964,0.5542168674698795
BLR008,Rajarajeshwari Nagar,operational,Purple Line,high,osm,True,5862.083333333333,6233.916666666667,12096.0,6377.5,6818.35294117647,13195.85294117647,4610.357142857143,4814.571428571428,9424.92857142857,2.007391033949461,2005.7844711299986,999.1996762004552,5733863.0,2856375.715058792,556717.0,277333.6089404971,2048.09326834511,571.2990585565567,0.2848257461255067,276,137.49189636310226,69.73707764800768,34.74015598784597,1.002766584119798,0.2860681596799683,0.5751741624809857,1,3.0,19.0,0.0,0.0,2.0,7.0,32.0,10.396877956991862,7.149022641444254,5,1666.0277118118336,2,0.11592893706714845,2,5.7444413724217246e-05,0,0,bengaluru,0.2891566265060241,0.06626506024096386,0.3313253012048193,0.4457831325301205,0.0783132530120482,0.41566265060240964,0.6686746987951807,0.5602409638554217,0.3795180722891566,0.43373493975903615
BLR009,Pantharapalya - Nayandahalli,operational,Purple Line,high,osm,True,2258.6041666666665,2181.75,4440.354166666667,2328.029411764706,2263.294117647059,4591.323529411765,2090.0,1983.7142857142856,4073.714285714286,2.007391033949461,3702.4289000332355,1844.3984442576968,7892698.0,3931818.8965263204,795039.0,396055.86881385674,3833.469215936959,807.2705914974213,0.21803810776492552,481,239.61450054584125,110.83038563201544,55.21115904057871,1.0032148471851206,0.24706002187699955,0.49674364782368985,2,3.0,10.0,0.0,0.0,3.0,6.0,24.0,9.63031150358907,6.338081821125796,5,1549.1367614330882,1,0.13730803974706415,2,5.987042971259613e-05,0,0,bengaluru,0.1566265060240964,0.1746987951807229,0.3313253012048193,0.23493975903614459,0.0783132530120482,0.41566265060240964,0.8373493975903614,0.4759036144578313,0.3795180722891566,0.42168674698795183
