,0
bus_stops_500m_pctl,0.31753902649843146
population,-0.20416021177876376
parking_area_m2_pctl,0.12058873292548944
metro_betweenness,0.10700196918429872
poi_total_pctl,0.017446935941841435
dist_cbd_km,0.016922431058636
intersection_density,-0.003817389058656695
pnr,-0.0011594253874455118
