,r2,mae,rmse,mape,spearman
linear_regression,-0.06210102956348584,3289.5534539183254,4963.621556236144,49.468343637239265,0.28780487804878047
elastic_net,-0.07412354800393861,3113.875959706413,4991.635513829143,45.620167367431854,0.20300187617260793
random_forest,0.017187876192135132,2974.484492395618,4774.7539829237685,41.31223254939894,0.41444652908067553
gradient_boosting,-0.2696471107661993,3577.7401501599716,5426.968007905814,50.444921838035775,0.4230769230769232
