date,day_name,day_type,line,station_cmrl,boardings
2026-08-17,Monday,Weekday,2,VADAPALANI,13040
2026-08-18,Tuesday,Weekday,1,AG-DMS,9586
2026-08-18,Tuesday,Weekday,1,ALANDUR,6577
2026-08-18,Tuesday,Weekday,1,CENTRAL METRO,21823
2026-08-18,Tuesday,Weekday,1,CHENNAI AIRPORT,19042
2026-08-18,Tuesday,Weekday,1,GOVERNMENT ESTATE,11172
2026-08-18,Tuesday,Weekday,1,GUINDY,17056
2026-08-18,Tuesday,Weekday,1,HIGH COURT,14815
2026-08-18,Tuesday,Weekday,1,KALADIPET METRO,5397
2026-08-18,Tuesday,Weekday,1,LIC,11774
2026-08-18,Tuesday,Weekday,1,LITTLE MOUNT,7725
2026-08-18,Tuesday,Weekday,1,MANNADI,7207
2026-08-18,Tuesday,Weekday,1,MEENAMBAKKAM,7631
2026-08-18,Tuesday,Weekday,1,NANDANAM,8410
2026-08-18,Tuesday,Weekday,1,NEW WASHERMENPET METRO,5282
2026-08-18,Tuesday,Weekday,1,OTA - NANGANALLUR ROAD,3162
2026-08-18,Tuesday,Weekday,1,SAIDAPET,7656
2026-08-18,Tuesday,Weekday,1,TEYNAMPET,10992
2026-08-18,Tuesday,Weekday,1,THIRUVOTRIYUR METRO,5086
2026-08-18,Tuesday,Weekday,1,THIRUVOTRIYUR THERADI METRO,6222
2026-08-18,Tuesday,Weekday,1,THIYAGARAYA COLLEGE METRO,7166
2026-08-18,Tuesday,Weekday,1,THOUSAND LIGHT,19507
2026-08-18,Tuesday,Weekday,1,TOLLGATE METRO,2679
2026-08-18,Tuesday,Weekday,1,TONDIARPET METRO,7052
2026-08-18,Tuesday,Weekday,1,WASHERMANPET,8491
2026-08-18,Tuesday,Weekday,1,WIMCO NAGAR DEPOT,5683
2026-08-18,Tuesday,Weekday,1,WIMCO NAGAR METRO,5747
2026-08-18,Tuesday,Weekday,2,ALANDUR,6778
2026-08-18,Tuesday,Weekday,2,ANNA NAGAR EAST,7373
2026-08-18,Tuesday,Weekday,2,ANNA NAGAR TOWER,6571
2026-08-18,Tuesday,Weekday,2,ARUMBAKKAM,5229
2026-08-18,Tuesday,Weekday,2,ASHOK NAGAR,9740
2026-08-18,Tuesday,Weekday,2,CENTRAL METRO,9335
2026-08-18,Tuesday,Weekday,2,CMBT,7884
2026-08-18,Tuesday,Weekday,2,EGMORE,5612
2026-08-18,Tuesday,Weekday,2,EKKATTUTHANGAL,9966
2026-08-18,Tuesday,Weekday,2,KILPAUK,2947
2026-08-18,Tuesday,Weekday,2,KOYAMBEDU,13717
2026-08-18,Tuesday,Weekday,2,NEHRU PARK,3079
2026-08-18,Tuesday,Weekday,2,PACHAIAPPA S COLLEGE,3407
2026-08-18,Tuesday,Weekday,2,SHENOY NAGAR,3913
2026-08-18,Tuesday,Weekday,2,St. THOMAS MOUNT,8966
2026-08-18,Tuesday,Weekday,2,THIRUMANGALAM,17422
2026-08-18,Tuesday,Weekday,2,VADAPALANI,14945
2026-08-19,Wednesday,Weekday,1,AG-DMS,9582
2026-08-19,Wednesday,Weekday,1,ALANDUR,7152
2026-08-19,Wednesday,Weekday,1,CENTRAL METRO,19751
2026-08-19,Wednesday,Weekday,1,CHENNAI AIRPORT,19230
2026-08-19,Wednesday,Weekday,1,GOVERNMENT ESTATE,11076
2026-08-19,Wednesday,Weekday,1,GUINDY,17628
2026-08-19,Wednesday,Weekday,1,HIGH COURT,14124
2026-08-19,Wednesday,Weekday,1,KALADIPET METRO,5522
2026-08-19,Wednesday,Weekday,1,LIC,11846
2026-08-19,Wednesday,Weekday,1,LITTLE MOUNT,8126
2026-08-19,Wednesday,Weekday,1,MANNADI,7182
2026-08-19,Wednesday,Weekday,1,MEENAMBAKKAM,7777
2026-08-19,Wednesday,Weekday,1,NANDANAM,8460
2026-08-19,Wednesday,Weekday,1,NEW WASHERMENPET METRO,5346
2026-08-19,Wednesday,Weekday,1,OTA - NANGANALLUR ROAD,3204
2026-08-19,Wednesday,Weekday,1,SAIDAPET,7918
2026-08-19,Wednesday,Weekday,1,TEYNAMPET,11036
2026-08-19,Wednesday,Weekday,1,THIRUVOTRIYUR METRO,5029
2026-08-19,Wednesday,Weekday,1,THIRUVOTRIYUR THERADI METRO,6129
2026-08-19,Wednesday,Weekday,1,THIYAGARAYA COLLEGE METRO,7273
2026-08-19,Wednesday,Weekday,1,THOUSAND LIGHT,19692
2026-08-19,Wednesday,Weekday,1,TOLLGATE METRO,2919
2026-08-19,Wednesday,Weekday,1,TONDIARPET METRO,7203
2026-08-19,Wednesday,Weekday,1,WASHERMANPET,8595
2026-08-19,Wednesday,Weekday,1,WIMCO NAGAR DEPOT,5744
2026-08-19,Wednesday,Weekday,1,WIMCO NAGAR METRO,5902
2026-08-19,Wednesday,Weekday,2,ALANDUR,6336
2026-08-19,Wednesday,Weekday,2,ANNA NAGAR EAST,7471
2026-08-19,Wednesday,Weekday,2,ANNA NAGAR TOWER,6775
2026-08-19,Wednesday,Weekday,2,ARUMBAKKAM,5474
2026-08-19,Wednesday,Weekday,2,ASHOK NAGAR,10037
2026-08-19,Wednesday,Weekday,2,CENTRAL METRO,10947
2026-08-19,Wednesday,Weekday,2,CMBT,7720
2026-08-19,Wednesday,Weekday,2,EGMORE,5795
2026-08-19,Wednesday,Weekday,2,EKKATTUTHANGAL,10233
2026-08-19,Wednesday,Weekday,2,KILPAUK,3016
2026-08-19,Wednesday,Weekday,2,KOYAMBEDU,13835
2026-08-19,Wednesday,Weekday,2,NEHRU PARK,3162
2026-08-19,Wednesday,Weekday,2,PACHAIAPPA S COLLEGE,3402
2026-08-19,Wednesday,Weekday,2,SHENOY NAGAR,3832
2026-08-19,Wednesday,Weekday,2,St. THOMAS MOUNT,8853
2026-08-19,Wednesday,Weekday,2,THIRUMANGALAM,17989
2026-08-19,Wednesday,Weekday,2,VADAPALANI,13565
